場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),総合係数
6,06_8,43,2,エーデル,6.12,47.62,0.529,E,90.0,1.0,0.79678,E,1.028,0.65,E,1.0,0.925,D,1.0,1.0,,1.0,,1.07337,B,0.529
6,06_8,43,3,トレサフィール,12.55,97.68,1.05,B,93.0,1.0,1.04934,D,1.028,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.30314,SS,1.05
6,06_8,43,4,デルマタモン,4.62,35.97,0.486,E,74.0,1.0,0.69383,E,1.028,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.486
6,06_8,43,5,トルショー,5.24,40.77,0.559,E,73.0,1.0,0.7778,E,1.028,0.566,E,1.0,1.0,,1.0,1.0,,1.0,,1.23455,S,0.559
6,06_8,43,6,スマートカイロス,9.99,77.72,0.827,E,94.0,1.0,0.86641,E,1.028,0.657,E,1.19,0.953,A,1.0,1.0,,1.0,,1.2456,S,0.827
6,06_8,43,7,レッドライトニング,4.45,34.63,0.468,E,74.0,1.0,0.6827,E,1.028,0.681,E,1.031,1.0,,1.0,1.0,,1.0,,0.94896,D,0.468
6,06_8,43,8,ピコシー,9.66,75.19,0.939,D,80.0,1.0,0.93214,D,1.028,0.754,E,1.0,1.054,B,1.0,1.0,,1.0,,1.23348,S,0.939
6,06_8,43,9,ヤウガウ,4.69,36.5,0.561,E,65.0,1.0,0.82191,E,1.028,1.0,,0.79,0.841,E,1.0,1.0,,1.0,,1.0,,0.561
6,06_8,43,10,アパイシュナール,7.42,57.79,1.032,,56.0,1.0,0.74125,E,1.028,1.0,,1.033,1.0,,1.0,1.0,,1.0,,1.31075,SS,1.032
6,06_8,43,11,ダイシンバースディ,8.0,62.29,0.701,E,88.8,1.0,0.65624,E,1.028,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.03974,,0.701
6,06_8,43,12,エクリプスルバン,5.69,44.27,0.606,E,73.0,1.0,0.75497,E,1.028,0.681,E,1.002,0.948,D,1.0,1.0,,1.0,,1.20649,S,0.606
6,06_8,43,13,トーホウキザン,3.46,26.91,0.337,E,80.0,1.0,0.8067,E,1.028,0.473,E,0.858,1.0,E,1.0,1.0,,1.0,,1.0,,0.337
6,06_9,23,1,ラフレードピエル,6.32,55.56,0.805,E,69.0,1.0,0.96727,,1.038,0.802,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.805
6,06_9,23,2,ファイアマン,6.34,55.73,0.705,E,79.0,1.0,0.92427,D,1.038,0.651,E,1.0,1.0,,1.0,1.0,,1.0,,1.12895,A,0.705
6,06_9,23,3,ダンツシタン,8.45,74.26,0.844,E,88.0,1.0,1.01822,,1.038,0.655,E,1.0,1.0,,1.0,1.0,,1.0,,1.21853,S,0.844
6,06_9,23,4,マクリール,38.27,336.17,3.265,SS,103.0,1.0,1.14787,A,1.038,2.361,SS,1.0,1.097,B,1.0,1.0,,1.0,,1.05787,B,3.265
6,06_9,23,5,ケントン,9.4,82.54,0.971,,85.0,1.0,1.17227,S,1.038,0.792,E,1.0,1.0,,1.0,1.0,,1.0,,1.0071,,0.971
6,06_9,23,6,タイセイエムロード,7.45,65.48,0.861,E,76.0,1.0,1.11064,A,1.038,0.681,E,1.0,1.097,B,1.0,1.0,,1.0,,1.0,,0.861
6,06_9,23,7,ハイライトニング,4.32,37.93,0.534,E,71.0,1.0,0.79048,E,1.038,0.652,E,1.0,1.0,,1.0,1.0,,1.0,,0.99875,,0.534
6,06_9,23,8,テンカムテキ,5.79,50.88,0.599,E,85.0,1.0,0.88506,D,1.038,0.652,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.599
6,06_9,23,9,オトシダマ,5.27,46.26,0.651,E,71.0,1.0,0.9113,D,1.038,0.651,E,1.0,1.0,,1.0,1.0,,1.0,,1.05796,B,0.651
6,06_9,23,10,アジアントレジャー,8.38,73.62,1.008,,73.0,1.0,0.99698,,1.038,0.802,E,1.0,1.0,,1.0,1.0,,1.0,,1.21505,S,1.008
6,06_10,43,1,ウインベアトリス,7.17,95.96,1.186,S,80.9,1.0,1.14502,A,1.028,0.887,D,1.0,1.0,,1.0,1.0,,1.0,,1.13633,A,1.186
