場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_6,23,12,ブレットフライ,2.38,11.22,0.154,E,73.0,1.0,0.21449,E,1.019,0.67,E,1.0,1.0,,1.0,1.0,,1.0,,1.02983,,1.01892,,0.154
6,06_6,23,13,エポカリーナ,4.53,21.4,0.315,E,68.0,1.0,0.43671,E,1.019,0.746,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.94785,D,0.315
6,06_6,23,14,ホークライト,23.01,108.6,1.293,SS,84.0,1.0,0.50545,E,1.019,1.315,SS,1.093,1.0,B,1.0,1.0,,1.0,,1.11799,A,1.56265,SS,1.293
6,06_7,43,1,ヴァリディシームス,14.56,120.66,1.49,SS,81.0,1.0,1.04947,D,1.008,1.092,B,1.0,1.0,,1.0,1.0,,1.0,,1.07052,B,1.20486,S,1.49
6,06_7,43,2,オールマイデイズ,13.76,114.03,1.118,A,102.0,1.0,1.06819,B,1.008,1.019,,1.0,1.0,,1.0,1.0,,1.0,,1.10078,A,0.92589,D,1.118
6,06_7,43,3,ヴァリージア,1.72,14.23,0.15,E,95.0,1.0,1.17446,S,1.008,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.06352,B,1.14564,A,0.15
6,06_7,43,4,オストラヴァ,16.48,136.58,1.393,SS,98.0,1.0,1.0889,B,1.008,1.009,,1.0,1.0,,1.0,1.0,,1.0,,1.12119,A,1.12188,A,1.393
6,06_7,43,5,フィーリウス,4.96,41.13,0.42,E,98.0,1.0,1.12482,A,1.008,0.943,D,1.0,1.0,,1.0,1.0,,1.0,,1.06609,B,0.36822,E,0.42
6,06_7,43,6,プラニスフェリオ,1.84,15.25,0.201,E,76.0,1.0,0.20479,E,1.008,0.756,E,1.0,1.0,,1.0,1.0,,1.0,,1.09132,B,1.17893,S,0.201
6,06_7,43,7,レイデラルース,2.63,21.84,0.206,E,106.0,1.0,0.48291,E,1.008,0.85,E,1.0,1.0,,1.0,1.0,,1.0,,1.03759,,0.47982,E,0.206
6,06_7,43,8,ズイウンゴサイ,0.9,7.44,0.089,E,84.0,1.0,1.01588,,1.008,0.765,E,1.0,1.0,,1.0,1.0,,1.0,,0.19716,E,0.57333,E,0.089
6,06_7,43,9,ウインネモフィラ,0.28,2.35,0.03,E,78.0,1.0,1.08924,B,1.008,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,1.03357,,0.25562,E,0.03
6,06_7,43,10,ウインルピナス,9.44,78.29,0.819,E,95.5,1.0,0.93843,D,1.008,0.811,E,1.0,1.0,,1.0,1.0,,1.0,,1.02538,,1.04092,D,0.819
6,06_7,43,11,オウケンボルト,0.38,3.17,0.033,E,95.0,1.0,0.52302,E,1.008,0.77,E,1.0,1.0,,1.0,1.0,,1.0,,0.21491,E,0.38218,E,0.033
6,06_7,43,12,レッドバンデ,14.84,123.01,0.961,,128.0,1.0,0.56953,E,1.008,1.189,S,1.0,1.0,,1.0,1.0,,1.0,,1.04749,D,1.34379,SS,0.961
6,06_7,43,13,ブラックボイス,0.9,7.46,0.156,E,48.0,1.0,0.20106,E,1.008,0.815,E,1.0,1.0,,1.0,1.0,,1.0,,1.00715,,0.93485,D,0.156
6,06_7,43,14,マイネルフォルツァ,10.96,90.88,1.136,A,80.0,1.0,1.16992,S,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.97816,,0.9848,,1.136
6,06_7,43,15,アナレンマ,2.2,18.26,0.225,E,81.0,1.0,0.4379,E,1.008,1.02,,1.0,1.0,,1.0,1.0,,1.0,,1.04202,D,0.48024,E,0.225
6,06_7,43,16,セイウンパシュート,4.14,34.35,0.386,E,89.0,1.0,0.97024,,1.008,0.722,E,1.0,1.0,,1.0,1.0,,1.0,,1.0392,,0.52555,E,0.386
6,06_8,43,1,リアルクィーン,5.65,32.49,0.391,E,83.0,1.0,0.42965,E,1.008,1.073,B,1.0,1.0,,0.951,1.0,D,1.0,,0.92993,D,0.95197,D,0.391
6,06_8,43,2,カフェアローロ,8.82,50.73,0.667,E,76.0,1.0,0.97363,,1.008,0.751,E,1.0,1.0,,0.892,1.0,D,1.0,,1.11911,A,0.90716,D,0.667
6,06_8,43,3,タイヨウフレア,9.69,55.71,0.687,E,81.0,1.0,0.98414,,1.008,0.688,E,1.0,1.0,,0.951,1.0,D,1.0,,1.07958,B,0.98095,,0.687
6,06_8,43,4,ロフティーイデアル,0.07,0.42,0.005,E,81.0,1.0,0.36369,E,1.008,0.036,E,1.0,0.911,D,0.95,1.0,D,1.0,,0.4718,E,0.97506,,0.005
6,06_8,43,5,ネクストダンサー,9.39,53.98,0.675,E,80.0,1.0,0.5139,E,1.008,0.786,E,1.0,1.138,A,0.985,1.0,,1.0,,1.14324,A,1.2934,SS,0.675
6,06_8,43,6,サツキノジョウ,2.92,16.81,0.189,E,89.0,1.0,0.46704,E,1.008,0.791,E,0.995,0.406,E,0.956,1.0,D,1.0,,1.32939,SS,0.98739,,0.189
6,06_8,43,7,レディーフランシス,11.16,64.15,0.844,E,76.0,1.0,0.99103,,1.008,0.791,E,0.943,1.0,D,0.994,1.0,,1.0,,0.95559,D,1.19294,S,0.844
6,06_8,43,8,ヴォンフレ,0.06,0.33,0.004,E,75.0,1.0,0.37385,E,1.008,0.036,E,1.0,0.305,E,0.967,1.0,,1.0,,1.08078,B,1.01989,,0.004
6,06_8,43,9,リュウノタブーク,0.02,0.1,0.001,E,71.0,1.0,0.93508,D,1.008,0.036,E,1.0,1.0,,0.892,1.0,D,1.0,,0.96257,,0.04883,E,0.001
6,06_8,43,10,イゾラフェリーチェ,5.33,30.66,0.333,E,92.0,1.0,0.83971,E,1.008,0.398,E,1.0,1.0,,0.915,1.0,D,1.0,,1.06578,B,1.01492,,0.333
6,06_8,43,11,エーリアル,7.9,45.4,0.575,E,79.0,1.0,0.40549,E,1.008,0.952,D,1.0,1.0,,0.997,1.0,,1.0,,1.18228,S,1.25325,SS,0.575
6,06_8,43,12,ベルイストワール,4.26,24.47,0.365,E,67.0,1.0,1.13261,A,1.008,0.737,E,1.0,1.0,,0.857,1.0,E,1.0,,1.0,,0.5067,E,0.365
6,06_8,43,13,オーケーマヒナ,7.98,45.88,0.729,E,63.0,1.0,1.08214,B,1.008,0.741,E,1.0,1.0,,0.916,1.0,D,1.0,,0.95556,D,1.03011,,0.729
6,06_8,43,14,レイバックスピン,20.81,119.63,1.287,SS,93.0,1.0,1.16199,S,1.008,0.95,D,1.0,1.0,,1.141,1.0,A,1.0,,1.0249,,0.98907,,1.287
6,06_8,43,15,コスモマルーン,5.51,31.65,0.446,E,71.0,1.0,0.92321,D,1.008,0.739,E,1.0,1.0,,0.864,1.0,E,1.0,,0.84445,E,0.88802,D,0.446
6,06_8,43,16,マフィン,0.44,2.52,0.029,E,88.0,1.0,0.87253,D,1.008,0.036,E,1.0,1.0,,0.915,1.0,D,1.0,,0.97927,,1.01167,,0.029
6,06_9,67,1,ジュノー,2.49,25.85,0.278,E,93.0,1.0,0.49931,E,1.008,0.818,E,1.0,1.0,,1.0,1.0,,1.0,,1.40309,SS,0.48096,E,0.278
6,06_9,67,2,レッドアトレーヴ,11.76,121.96,1.232,S,99.0,1.0,1.186,S,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.02415,,1.00619,,1.232
6,06_9,67,3,サムハンター,2.24,23.2,0.249,E,93.0,1.0,1.05159,B,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,0.23527,E,1.00021,,0.249
6,06_9,67,4,パワーホール,9.45,97.99,1.0,,98.0,1.0,1.04709,D,1.008,0.84,E,1.0,1.0,,1.0,1.0,,1.0,,1.06936,B,1.05442,B,1.0
6,06_9,67,5,コートアリシアン,15.05,156.01,1.529,SS,102.0,1.0,1.16524,S,1.008,1.177,S,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.10599,A,1.529
6,06_9,67,6,ケイデンシーマーク,11.85,122.84,1.28,SS,96.0,1.0,1.1242,A,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.00679,,1.12153,A,1.28
6,06_9,67,7,ポルカリズム,9.66,100.21,1.002,,100.0,1.0,1.05318,B,1.008,0.881,D,1.0,1.0,,1.0,1.0,,1.0,,1.00579,,1.06465,B,1.002
6,06_9,67,8,グローリーリンク,13.89,144.01,1.398,SS,103.0,1.0,1.13672,A,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.01156,,1.20624,S,1.398
6,06_9,67,9,ユキノロイヤル,0.52,5.37,0.06,E,89.0,1.0,1.32194,SS,1.008,0.104,E,1.0,1.0,,1.0,1.0,,1.0,,0.43854,E,0.99417,,0.06
6,06_9,67,10,ブランデーロック,0.52,5.4,0.056,E,97.0,1.0,0.50552,E,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0278,,0.10622,E,0.056
6,06_9,67,11,セブンマジシャン,10.1,104.69,1.016,,103.0,1.0,1.15071,A,1.008,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.02797,,0.85241,E,1.016
6,06_9,67,12,エリーズダイヤ,3.13,32.47,0.377,E,86.0,1.0,1.11565,A,1.008,0.767,E,1.0,0.99,,1.0,1.0,,1.0,,0.99883,,0.44257,E,0.377
