場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),調教師,(判定),総合係数
10,10_7,7,14,ビレッジルイーザ,5.37,52.94,0.953,D,52.0,1.0,1.37373,SS,1.018,0.791,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.86137,E,1.0679,B,0.953
10,10_7,7,15,フェーヴルブラン,0.98,9.62,0.256,E,35.0,1.0,0.77701,E,1.018,0.446,E,1.0,1.0,,1.0,1.0,,1.0,,0.89542,D,0.8093,E,1.0764,B,0.256
10,10_7,7,16,ノンブルドール,5.37,52.99,0.702,E,74.0,1.0,1.14642,A,1.018,0.734,E,1.0,1.0,,1.0,1.0,,1.0,,0.87639,D,0.93545,D,1.01939,,0.702
10,10_7,7,17,ピカソジャスパー,6.42,63.36,0.861,E,62.0,1.0,1.20093,S,1.018,0.735,E,1.0,1.0,,1.0,1.0,,1.0,,0.90626,D,1.05718,B,1.18716,S,0.861
10,10_7,7,18,アストリル,14.33,141.33,1.946,SS,77.0,1.0,1.32394,SS,1.018,1.431,SS,1.0,1.0,,1.0,1.0,,1.0,,0.96469,,1.04619,D,0.94303,D,1.946
10,10_8,23,1,ホウオウペトリュス,4.13,43.67,0.804,E,81.0,1.0,1.30805,SS,1.038,0.729,E,1.0,1.0,,1.016,1.0,,1.0,,0.98974,,0.80734,E,0.6706,E,0.804
10,10_8,23,2,ベストレーサー,7.61,80.37,0.967,,86.0,1.0,1.0831,B,1.038,0.779,E,1.0,1.0,,0.993,1.0,,1.0,,1.15088,A,0.96652,,0.9657,,0.967
10,10_8,23,3,ウインシャーガス,9.15,96.72,1.179,S,90.0,1.0,1.12974,A,1.038,0.747,E,1.0,1.0,,0.993,1.0,,1.0,,1.1015,A,1.23031,S,0.91141,D,1.179
10,10_8,23,4,エイシンオニキス,6.57,69.37,0.976,,78.0,1.0,1.30333,SS,1.038,0.747,E,1.0,1.0,,1.006,1.0,,1.0,,0.9791,,0.98084,,0.91086,D,0.976
10,10_8,23,5,ジュルナール,5.15,54.4,0.955,D,56.0,1.0,0.84781,E,1.038,1.0,,1.0,1.0,,0.968,1.0,,1.0,,1.06365,B,1.05374,B,1.01718,,0.955
10,10_8,23,6,アンドローゼス,4.58,48.41,0.638,E,76.0,1.0,0.99033,,1.038,0.747,E,1.0,1.0,,0.856,1.0,E,1.0,,0.88264,D,1.10015,A,0.99811,,0.638
10,10_8,23,7,グランセゾン,9.31,98.41,1.555,SS,81.0,1.0,1.20794,S,1.038,1.093,B,1.0,1.0,,1.155,1.0,A,1.0,,1.02443,,0.95894,D,0.78084,E,1.555
10,10_8,23,8,ウアーシュプルング,12.81,135.39,1.386,SS,79.0,1.0,1.10909,A,1.038,0.747,E,1.0,1.0,,1.155,1.0,A,1.0,,1.15913,A,1.20423,S,1.23585,S,1.386
10,10_8,23,9,ロケベンドラ,4.51,47.62,0.601,E,88.0,1.0,0.94595,D,1.038,0.695,E,1.0,1.0,,0.993,1.0,,1.0,,0.96068,,0.92383,D,0.89957,D,0.601
10,10_8,23,10,ミッドタウンナイト,7.82,82.64,0.927,D,77.0,1.0,1.12728,A,1.038,0.747,E,1.0,1.0,,0.98,1.0,,1.0,,1.05564,B,1.02528,,1.15783,A,0.927
10,10_8,23,11,ルナルーチェット,7.82,82.66,0.867,E,90.0,1.0,0.90236,D,1.038,0.69,E,1.0,1.0,,0.972,1.0,,1.0,,1.3332,SS,1.03546,,1.05824,B,0.867
10,10_8,23,12,イリスレーン,6.47,68.31,0.899,D,80.0,1.0,1.05054,B,1.038,0.824,E,1.0,1.0,,0.914,1.0,D,1.0,,1.15354,A,0.94929,D,0.94988,D,0.899
10,10_8,23,13,ニシノコマチムスメ,4.22,44.6,0.606,E,74.0,1.0,0.85636,E,1.038,0.733,E,1.0,1.0,,0.918,1.0,D,1.0,,1.11935,A,0.90477,D,0.99466,,0.606
10,10_8,23,14,アストラッド,3.27,34.54,0.461,E,74.0,1.0,1.04823,D,1.038,0.643,E,1.0,1.0,,0.803,1.0,E,1.0,,0.88943,D,0.92173,D,1.01359,,0.461
10,10_8,23,15,ソニックドライブ,6.11,64.6,0.797,E,79.0,1.0,1.07307,B,1.038,0.747,E,1.0,1.0,,1.09,1.0,B,1.0,,0.93598,D,0.93947,D,1.02534,,0.797
10,10_8,23,16,オーケーエンジェル,0.45,4.79,0.292,E,13.0,1.0,0.74299,E,1.038,0.47,E,1.0,1.0,,0.815,1.0,E,1.0,,1.0,,0.98759,,1.26148,SS,0.292
10,10_9,23,1,セイプリーズ,15.01,172.38,1.754,SS,81.0,1.0,1.09945,B,1.038,1.129,A,1.0,1.0,,1.0,1.0,,1.0,,1.14265,A,1.19167,S,1.21262,S,1.754
10,10_9,23,2,セゾンデフィーユ,17.27,198.3,1.721,SS,94.0,1.0,1.20551,S,1.038,1.075,B,1.0,1.0,,1.0,1.0,,1.0,,1.18955,S,1.07537,B,1.22619,S,1.721
10,10_9,23,3,パーリーラスター,5.76,66.17,0.757,E,78.0,1.0,1.1754,S,1.038,0.593,E,1.0,1.0,,1.0,1.0,,1.0,,1.08783,B,0.9619,,1.12063,A,0.757
10,10_9,23,4,ツィスカリーゼ,3.56,40.9,0.598,E,66.0,1.0,0.86198,E,1.038,0.681,E,1.0,1.0,,1.0,1.0,,1.0,,0.9816,,1.0,,1.03567,,0.598
10,10_9,23,5,エコロハート,6.16,70.76,0.907,D,82.0,1.0,0.94694,D,1.038,0.73,E,1.0,1.0,,1.0,1.0,,1.0,,1.05192,B,1.20187,S,0.95171,D,0.907
10,10_9,23,6,ベルビースタローン,5.86,67.33,0.787,E,80.0,1.0,0.85192,E,1.038,0.82,E,1.0,1.0,,1.0,1.0,,1.0,,1.11116,A,0.97719,,1.069,B,0.787
10,10_9,23,7,セディバン,2.27,26.08,0.307,E,79.0,1.0,0.68937,E,1.038,0.539,E,0.928,0.859,E,1.0,1.0,,1.0,,1.0,,1.0,,1.07476,B,0.307
10,10_9,23,8,グリフォン,8.76,100.59,1.234,S,87.0,1.0,1.22793,S,1.038,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.96794,,0.93714,D,1.234
10,10_9,23,9,スウィートリワード,1.26,14.49,0.343,E,57.0,1.0,0.80688,E,1.038,0.563,E,0.815,1.0,E,1.0,1.0,,1.0,,0.85631,E,1.0426,D,0.74132,E,0.343
10,10_9,23,10,ヤマニンレセディ,4.99,57.32,0.591,E,79.0,1.0,0.82889,E,1.038,0.686,E,1.0,1.0,,1.0,1.0,,1.0,,0.90148,D,1.11031,A,1.2285,S,0.591
10,10_9,23,11,ヴィヴァクラウン,4.58,52.58,0.66,E,78.0,1.0,1.03276,,1.038,0.642,E,1.0,1.0,,1.0,1.0,,1.0,,0.9285,D,1.03333,,1.02048,,0.66
10,10_9,23,12,ロンドンアームズ,2.67,30.66,0.476,E,73.0,1.0,0.9137,D,1.038,0.498,E,1.0,1.0,,1.0,1.0,,1.0,,1.07454,B,0.9381,D,0.88216,D,0.476
10,10_9,23,13,カウンターセブン,6.38,73.27,0.74,E,80.0,1.0,0.987,,1.038,0.71,E,1.0,1.0,,1.0,1.0,,1.0,,0.96704,,1.05229,B,1.23636,S,0.74
10,10_9,23,14,アウクソー,5.46,62.72,1.092,B,77.0,1.0,1.08262,B,1.038,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.10089,A,1.1811,S,0.74634,E,1.092
10,10_9,23,15,クリノゴッホ,4.83,55.44,0.822,E,83.0,1.0,0.92178,D,1.038,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.09066,B,1.05396,B,0.81302,E,0.822
10,10_9,23,16,ペルフェツィオーネ,5.15,59.11,0.742,E,84.0,1.0,1.01194,,1.038,0.738,E,1.0,1.0,,1.0,1.0,,1.0,,1.14449,A,0.83607,E,0.94885,D,0.742
