場所,レース,クラス,馬番,馬名,MS_index,MS_index_value,総合係数,総合判定,基準値,未勝利,コース,(判定),O_Month,O_Level,(判定),O_Trouble,O_Bias,(複合判定),S_Female,S_Handi,(複合判定),重賞,(判定),血統,(判定),騎手,(判定),総合係数
6,06_9,67,15,ウインレイアー,5.25,80.28,0.854,E,94.0,1.0,1.12365,A,1.035,0.748,E,1.0,1.0,,1.0,1.0,,1.0,,1.09045,B,0.90024,D,0.854
6,06_10,131,1,ワールズコライド,3.7,45.14,0.507,E,89.0,1.0,0.72499,E,0.978,0.766,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.93386,D,0.507
6,06_10,131,2,オーブルクール,3.56,43.51,0.463,E,94.0,1.0,0.80954,E,0.978,0.681,E,1.0,1.039,,1.0,1.0,,1.0,,1.01988,,0.80983,E,0.463
6,06_10,131,3,バンデルオーラ,4.34,53.06,0.559,E,95.0,1.0,0.89666,D,0.978,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.00697,,0.84683,E,0.559
6,06_10,131,4,カンパニョーラ,5.2,63.48,0.675,E,94.0,1.0,0.88305,D,0.978,0.672,E,0.999,1.012,,1.0,1.0,,1.0,,1.0691,B,1.07641,B,0.675
6,06_10,131,5,ジュンウィンダム,4.95,60.43,0.63,E,96.0,1.0,0.89942,D,0.978,0.747,E,1.0,1.0,,1.0,1.0,,1.0,,1.0534,B,0.9095,D,0.63
6,06_10,131,6,エコロアゼル,5.31,64.87,0.676,E,96.0,1.0,0.90981,D,0.978,0.656,E,1.003,1.0,,1.0,1.0,,1.0,,1.0,,1.15469,A,0.676
6,06_10,131,7,バグラダス,3.44,42.01,0.462,E,91.0,1.0,0.8356,E,0.978,0.697,E,1.0,1.0,,1.0,1.0,,1.0,,1.06396,B,0.76221,E,0.462
6,06_10,131,8,ソニックスター,2.43,29.66,0.341,E,87.0,1.0,0.70021,E,0.978,0.529,E,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.94094,D,0.341
6,06_10,131,9,ジョーローリット,18.07,220.71,2.122,SS,104.0,1.0,0.87651,D,0.978,1.601,SS,1.151,1.176,SS,1.0,1.0,,1.0,,1.19175,S,0.95846,D,2.122
6,06_10,131,10,アメリカンステージ,5.56,67.9,0.672,E,101.0,1.0,0.8271,E,0.978,1.005,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,0.82699,E,0.672
6,06_10,131,11,サンライズパスカル,6.7,81.82,0.852,E,96.0,1.0,0.88964,D,0.978,0.681,E,1.0,1.004,,1.0,1.0,,1.0,,1.31318,SS,1.09087,B,0.852
6,06_10,131,12,ロードアウォード,6.29,76.8,0.724,E,106.0,1.0,0.98219,,0.978,0.681,E,1.0,1.097,B,1.0,1.0,,1.0,,1.10213,A,0.91578,D,0.724
6,06_10,131,13,ポールセン,15.45,188.66,1.795,SS,105.0,1.0,0.897,D,0.978,1.97,SS,1.15,1.093,SS,1.0,1.0,,1.0,,1.0,,0.82642,E,1.795
6,06_10,131,14,モンドプリューム,5.25,64.17,0.661,E,97.0,1.0,0.9177,D,0.978,0.769,E,1.0,1.0,,1.0,1.0,,1.0,,0.98396,,0.97405,,0.661
6,06_10,131,15,サウンドアレグリア,3.28,40.1,0.461,E,87.0,1.0,0.8366,E,0.978,0.688,E,1.0,1.0,,1.0,1.0,,1.0,,0.94783,D,0.86429,E,0.461
